brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Nokia,C5-00,nokia_c5_00_ver1,nokia_generic_series60_dp30_fp2_webkit,CLICKTAG,108,0,0,108,1,1,0.009259259259259,0.009259259259259,C5,Symbian OS,9.3,2010_march,Nokia BrowserNG
Nokia,C5-00,nokia_c5_00_ver1,nokia_generic_series60_dp30_fp2_webkit,Unknown,3,0,0,3,0,0,0,0,C5,Symbian OS,9.3,2010_march,Nokia BrowserNG
Samsung,GT S5620,samsung_gt_s5620_ver1,generic_dolfin1_5,WAP,1,0,0,1,0,0,0,0,,,,2010_february,Dolfin/Jasmine Webkit
Samsung,GT S5620,samsung_gt_s5620_ver1,generic_dolfin1_5,CLICKTAG,4,0,0,4,0,0,0,0,,,,2010_february,Dolfin/Jasmine Webkit
Nokia,5233,nokia_5233_ver1_subua,nokia_5233_ver1,CLICKTAG,9,0,0,9,0,0,0,0,,Symbian OS,,2010_june,Safari
Nokia,5233,nokia_5233_ver1_subua,nokia_5233_ver1,WAP,40,0,0,40,1,0,0,0,,Symbian OS,,2010_june,Safari
Nokia,5233,nokia_5233_ver1_subua,nokia_5233_ver1,NULL,2,0,0,2,0,0,0,0,,Symbian OS,,2010_june,Safari
SonyEricsson,T715a,sonyericsson_t715a_ver1,sonyericsson_t715_ver1,WAP,2,0,0,2,0,0,0,0,,,,2010_february,Access Netfront
Samsung,GT C3510,samsung_gt_c3510_ver1,generic_netfront_ver3_5,CLICKTAG,1,0,0,1,0,0,0,0,CorbyPOP,,,2010_february,Access Netfront
Samsung,GT C3510,samsung_gt_c3510_ver1,generic_netfront_ver3_5,WAP,3,0,0,3,2,1,0.333333333333333,0.333333333333333,CorbyPOP,,,2010_february,Access Netfront
Samsung,GT M5650,samsung_gt_m5650_ver1,generic_dolfin,CLICKTAG,3,0,0,3,0,0,0,0,Corby Lindy,,,2010_february,Dolfin/Jasmine Webkit
Nokia,2220 slide,nokia_2220s_ver1,nokia_generic_series40_dp50,JAVA_APP,1,0,0,1,0,0,0,0,,,,2009_november,Nokia
Nokia,2220 slide,nokia_2220s_ver1,nokia_generic_series40_dp50,WAP,6,0,0,6,2,1,0.166666666666667,0.166666666666667,,,,2009_november,Nokia
Samsung,GT S5230W,samsung_gt_s5230w_ver1,samsung_gt_s5230_ver1,CLICKTAG,5,0,0,5,0,0,0,0,Star,,,2010_february,Dolfin/Jasmine Webkit
Samsung,GT S5230W,samsung_gt_s5230w_ver1,samsung_gt_s5230_ver1,NULL,1,0,0,1,0,0,0,0,Star,,,2010_february,Dolfin/Jasmine Webkit
Samsung,GT S5230W,samsung_gt_s5230w_ver1,samsung_gt_s5230_ver1,WAP,1,0,0,1,0,0,0,0,Star,,,2010_february,Dolfin/Jasmine Webkit
Motorola,XT720,mot_xt720_ver1,generic_android_ver2,GooglePlay,1,0,0,1,0,0,0,0,MOTOROI,Android,2,2009_october,Android Webkit
HTC,Touch2,htc_touch2_ver1_subt3333,htc_touch2_ver1,CLICKTAG,2,0,0,2,0,0,0,0,,Windows Mobile OS,6.1,2009_november,Opera
