brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Nokia,C7-00,nokia_c7_00_ver1_subuadotone,nokia_c7_00_ver1,6,5,4,2,0,0,0,0,Astound,Symbian OS,S3,2010_september,Nokia BrowserNG
HTC,Z710,htc_sensation_ver1_subz710e_suban40,htc_sensation_ver1_subz710e,782,357,295,487,0,0,0,0,Sensation,Android,4,2011_june,Android Webkit
Samsung,SGH-I727,samsung_sgh_i727_ver1_suban40,samsung_sgh_i727_ver1,60,40,31,29,1,1,0.016666666666667,0.03448275862069,Galaxy S II Skyrocket,Android,4,2012_february,Android Webkit
Samsung,SHW-M250K,samsung_shw_m250k_ver1_suban40,samsung_shw_m250k_ver1,23,13,11,12,0,0,0,0,GALAXY S II (KT),Android,4,2010_november,Android Webkit
Samsung,SHW-M250S,samsung_shw_m250s_ver1_suban40,samsung_shw_m250s_ver1,136,108,93,43,0,0,0,0,GALAXY S II (SKT),Android,4,2010_november,Android Webkit
Xiaomi,MI-ONE Plus,miui_mi_one_plus_ver1,generic_android_ver2_3,8,3,1,7,0,0,0,0,M1 Plus,Android,2.3,2010_november,Android Webkit
SonyEricsson,MT11i,sonyericsson_mt11i_ver1_subuanose,sonyericsson_mt11i_ver1,1295,313,274,1021,4,4,0.003088803088803,0.003917727717924,Xperia Neo V,Android,2.3,2011_october,Android Webkit
LogicPD,Zoom2,logicpd_zoom2_ver1_subnook_subuabnrv200,logicpd_zoom2_ver1_subnook,4,1,0,4,0,0,0,0,Barnes & Noble Nook Color,Android,2.2,2010_february,Android Webkit
SonyEricsson,R800a,sonyericsson_r800i_ver1_suba_nose,sonyericsson_r800i_ver1_suba,1,1,0,1,0,0,0,0,Xperia PLAY,Android,2.3,2012_january,Android Webkit
Samsung,SHV-E160K,samsung_shv_e160k_ver1,generic_android_ver2_3,56,41,40,16,0,0,0,0,Galaxy Note,Android,2.3,2010_november,Android Webkit
Samsung,SHV-E160L,samsung_shv_e160k_ver1_subual,samsung_shv_e160k_ver1,2,0,0,2,0,0,0,0,Galaxy Note,Android,2.3,2010_november,Android Webkit
Samsung,SHW-M340S,samsung_shw_m340s_ver1,generic_android_ver2_3,5,2,2,3,0,0,0,0,Galaxy M Style,Android,2.3,2010_november,Android Webkit
Samsung,SHW-M380S,samsung_shw_m380s_ver1_suban32,samsung_shw_m380s_ver1,11,7,7,4,0,0,0,0,Galaxy Tab 10.1,Android,3.2,2011_february,Android Webkit
SonyEricsson,ST18i,sonyericsson_st18i_ver1_subuai,sonyericsson_st18i_ver1,2526,620,527,1999,10,10,0.003958828186857,0.005002501250625,Urushi,Android,2.3,2011_july,Android Webkit
SonyEricsson,ST18i,sonyericsson_st18i_ver1_subuaise,sonyericsson_st18i_ver1,4839,1713,1312,3527,17,17,0.003513122545981,0.004819960306209,Urushi,Android,2.3,2011_july,Android Webkit
SonyEricsson,SO-01D,sonyericsson_so_01d_ver1,generic_android_ver2_3,1,0,0,1,0,0,0,0,Xperia Play SO-01D,Android,2.3,2010_november,Android Webkit
Turkcell,T11,turkcell_t11_ver1,generic_android_ver2_3,21,8,8,13,0,0,0,0,Campaign,Android,2.3,2010_november,Android Webkit
Turkcell,T20,turkcell_t20_ver1_suban23,turkcell_t20_ver1,158,91,74,84,0,0,0,0,,Android,2.3,2011_july,Android Webkit
SonyEricsson,WT19i,sonyericsson_wt19i_ver1_subuanose,sonyericsson_wt19i_ver1,339,84,79,260,1,1,0.002949852507375,0.003846153846154,Live,Android,2.3,2012_february,Android Webkit
ZTE,V880,zte_blade_ver1_subuav880,zte_blade_ver1,1,1,0,1,0,0,0,0,Blade,Android,2.2,2011_february,Android Webkit
Nokia,603,nokia_603_ver1_subuas60,nokia_603_ver1,2089,1759,1357,732,25,25,0.011967448539971,0.034153005464481,,Symbian OS,S3,2011_october,Safari
